county,precinct,yes_91,no_91,is_county
Baker,0,2939,4313,1
Benton,0,23092,15086,1
Clackamas,0,83159,76399,1
Clackamas,1,1395,1225,0
Clackamas,2,1224,890,0
Clackamas,3,911,729,0
Clackamas,4,7,18,0
Clackamas,5,1375,1176,0
Clackamas,6,786,1037,0
Clackamas,7,913,923,0
Clackamas,10,8,12,0
Clackamas,31,799,647,0
Clackamas,32,875,639,0
Clackamas,33,811,788,0
Clackamas,51,1275,507,0
Clackamas,52,1253,650,0
Clackamas,53,966,509,0
Clackamas,54,941,632,0
Clackamas,55,986,668,0
Clackamas,70,0,4,0
Clackamas,71,71,52,0
Clackamas,72,47,21,0
Clackamas,73,75,45,0
Clackamas,74,28,15,0
Clackamas,100,95,166,0
Clackamas,101,1280,1407,0
Clackamas,102,113,88,0
Clackamas,103,865,1201,0
Clackamas,104,0,2,0
Clackamas,105,314,388,0
Clackamas,106,528,443,0
Clackamas,107,898,871,0
Clackamas,108,772,754,0
Clackamas,111,1110,1224,0
Clackamas,122,947,1133,0
Clackamas,124,748,1012,0
Clackamas,125,1153,1213,0
Clackamas,130,954,977,0
Clackamas,131,1056,1008,0
Clackamas,132,889,724,0
Clackamas,133,1599,1153,0
Clackamas,134,1163,745,0
Clackamas,135,1079,958,0
Clackamas,151,1147,831,0
Clackamas,152,1259,882,0
Clackamas,153,962,843,0
Clackamas,154,232,323,0
Clackamas,155,1288,992,0
Clackamas,156,1254,1135,0
Clackamas,157,994,837,0
Clackamas,158,791,576,0
Clackamas,159,1501,1144,0
Clackamas,160,145,153,0
Clackamas,201,1277,1229,0
Clackamas,202,1702,1461,0
Clackamas,203,692,1048,0
Clackamas,251,0,1,0
Clackamas,252,635,707,0
Clackamas,280,598,383,0
Clackamas,281,628,472,0
Clackamas,282,203,129,0
Clackamas,283,208,179,0
Clackamas,320,531,442,0
Clackamas,321,588,671,0
Clackamas,322,411,511,0
Clackamas,323,564,598,0
Clackamas,330,819,1303,0
Clackamas,331,224,263,0
Clackamas,332,93,112,0
Clackamas,333,517,615,0
Clackamas,350,620,674,0
Clackamas,351,994,1265,0
Clackamas,352,619,805,0
Clackamas,360,889,820,0
Clackamas,361,18,9,0
Clackamas,362,510,513,0
Clackamas,363,199,183,0
Clackamas,364,288,259,0
Clackamas,370,881,875,0
Clackamas,371,637,658,0
Clackamas,372,347,309,0
Clackamas,373,1440,863,0
Clackamas,400,503,603,0
Clackamas,401,447,562,0
Clackamas,402,446,649,0
Clackamas,403,412,545,0
Clackamas,404,754,1043,0
Clackamas,405,345,446,0
Clackamas,406,263,328,0
Clackamas,410,521,525,0
Clackamas,411,908,1070,0
Clackamas,412,629,712,0
Clackamas,413,673,480,0
Clackamas,414,289,325,0
Clackamas,415,73,104,0
Clackamas,416,1038,1121,0
Clackamas,417,11,10,0
Clackamas,418,1405,1039,0
Clackamas,419,310,248,0
Clackamas,420,247,130,0
Clackamas,421,863,968,0
Clackamas,422,1463,843,0
Clackamas,423,5,9,0
Clackamas,500,1317,1119,0
Clackamas,501,1266,751,0
Clackamas,502,1585,1025,0
Clackamas,503,1339,1262,0
Clackamas,504,845,665,0
Clackamas,505,701,568,0
Clackamas,506,903,787,0
Clackamas,510,395,351,0
Clackamas,511,828,992,0
Clackamas,512,551,458,0
Clackamas,513,806,804,0
Clackamas,514,1370,1414,0
Clackamas,515,390,354,0
Clackamas,516,329,359,0
Clackamas,517,778,762,0
Clackamas,518,699,774,0
Clackamas,519,257,334,0
Clackamas,520,181,133,0
Clatsop,0,8251,6361,1
Columbia,0,10898,9500,1
Coos,0,13083,11348,1
Crook,0,3747,5358,1
Curry,0,5590,4204,1
Deschutes,0,37018,34366,1
Deschutes,1,1340,588,0
Deschutes,2,865,878,0
Deschutes,3,1399,799,0
Deschutes,4,1431,611,0
Deschutes,5,1480,1239,0
Deschutes,6,1024,584,0
Deschutes,7,801,379,0
Deschutes,8,44,55,0
Deschutes,9,622,414,0
Deschutes,10,327,297,0
Deschutes,11,375,278,0
Deschutes,12,811,931,0
Deschutes,13,391,390,0
Deschutes,14,562,657,0
Deschutes,15,392,485,0
Deschutes,16,356,564,0
Deschutes,17,1207,1074,0
Deschutes,18,786,1151,0
Deschutes,19,357,391,0
Deschutes,20,1265,1170,0
Deschutes,21,431,550,0
Deschutes,22,98,138,0
Deschutes,23,229,262,0
Deschutes,24,243,254,0
Deschutes,25,1034,791,0
Deschutes,26,678,614,0
Deschutes,27,1020,385,0
Deschutes,28,1096,1205,0
Deschutes,29,838,1210,0
Deschutes,30,521,498,0
Deschutes,31,768,1382,0
Deschutes,32,1156,607,0
Deschutes,33,934,980,0
Deschutes,34,887,912,0
Deschutes,35,966,1094,0
Deschutes,36,961,1216,0
Deschutes,37,404,390,0
Deschutes,38,773,667,0
Deschutes,39,983,1051,0
Deschutes,40,350,356,0
Deschutes,41,869,849,0
Deschutes,42,1193,859,0
Deschutes,43,560,721,0
Deschutes,44,910,902,0
Deschutes,45,548,619,0
Deschutes,46,692,527,0
Deschutes,47,938,1031,0
Deschutes,48,439,633,0
Deschutes,49,287,267,0
Deschutes,50,377,461,0
Douglas,0,19214,23020,1
Douglas,1,320,351,0
Douglas,2,107,148,0
Douglas,3,767,749,0
Douglas,4,1376,1518,0
Douglas,5,1375,1571,0
Douglas,6,1294,1634,0
Douglas,7,838,1245,0
Douglas,8,1090,1316,0
Douglas,9,965,1014,0
Douglas,10,45,30,0
Douglas,11,153,172,0
Douglas,12,1046,1954,0
Douglas,13,933,1352,0
Douglas,14,159,154,0
Douglas,15,166,185,0
Douglas,16,825,966,0
Douglas,17,1303,1664,0
Douglas,18,739,699,0
Douglas,19,1252,1405,0
Douglas,20,891,1124,0
Douglas,21,649,810,0
Douglas,22,1131,850,0
Douglas,23,351,461,0
Douglas,24,441,505,0
Douglas,25,234,306,0
Douglas,26,508,568,0
Douglas,27,103,116,0
Douglas,28,153,153,0
Gilliam,0,370,535,1
Grant,0,1171,2156,1
Harney,0,1036,1986,1
Hood River,0,4913,3611,1
Jackson,0,44843,39181,1
Jackson,2,2145,585,0
Jackson,4,2170,590,0
Jackson,7,1903,475,0
Jackson,10,133,36,0
Jackson,13,1961,652,0
Jackson,18,1659,717,0
Jackson,21,106,72,0
Jackson,22,219,280,0
Jackson,23,205,191,0
Jackson,24,688,816,0
Jackson,26,541,596,0
Jackson,27,698,906,0
Jackson,29,639,879,0
Jackson,30,68,71,0
Jackson,31,336,408,0
Jackson,34,507,774,0
Jackson,35,14,7,0
Jackson,36,854,752,0
Jackson,38,357,436,0
Jackson,40,1079,1342,0
Jackson,42,898,1254,0
Jackson,44,1233,1121,0
Jackson,46,935,1234,0
Jackson,47,664,938,0
Jackson,48,1343,1151,0
Jackson,50,948,1073,0
Jackson,52,336,400,0
Jackson,54,1241,1248,0
Jackson,56,1140,971,0
Jackson,58,1137,612,0
Jackson,60,1151,850,0
Jackson,62,827,750,0
